1688637955.6841717;92:9a:d4:33:5b:f8;Unknown OUI;eduroam
1688637960.2180414;c0:8c:71:a4:28:8c;Motorola Mobility LLC, a Lenovo Company;eduroam
1688637960.2335143;c0:8c:71:a4:28:8c;Motorola Mobility LLC, a Lenovo Company;eduroam
1688637961.0224452;06:e8:1e:ea:7e:7b;Unknown OUI;eduroam
1688637961.0424452;06:e8:1e:ea:7e:7b;Unknown OUI;eduroam
1688637961.0830686;06:e8:1e:ea:7e:7b;Unknown OUI;eduroam
1688637974.2649305;52:65:22:98:75:32;Unknown OUI;eduroam
1688637974.2852323;52:65:22:98:75:32;Unknown OUI;eduroam
1688637974.6131854;52:65:22:98:75:32;Unknown OUI;eduroam
1688637975.1498756;ea:92:43:01:08:3e;Unknown OUI;eduroam
1688637975.1704648;ea:92:43:01:08:3e;Unknown OUI;eduroam
1688637976.5332243;da:a1:19:6d:90:3a;Unknown OUI;devolo_n1
1688637977.133774;52:65:22:98:75:32;Unknown OUI;eduroam
1688637979.2383268;52:65:22:98:75:32;Unknown OUI;eduroam
1688637980.1041062;52:65:22:98:75:32;Unknown OUI;eduroam
1688637980.6377065;4a:e2:70:b4:cc:00;Unknown OUI;eduroam
1688637980.657731;4a:e2:70:b4:cc:00;Unknown OUI;eduroam
1688637982.9673188;82:c2:85:66:19:c6;Unknown OUI;eduroam
1688637983.6652477;a4:4b:d5:1a:47:c1;Xiaomi Communications Co Ltd;eduroam
1688637984.241243;9a:bb:84:fe:f6:20;Unknown OUI;PW - TEAM 1
1688637984.296245;9a:bb:84:fe:f6:20;Unknown OUI;PW - TEAM 1
1688637985.3029613;c0:8c:71:cb:cd:40;Motorola Mobility LLC, a Lenovo Company;eduroam
1688637985.646766;92:9a:d4:33:5b:f8;Unknown OUI;eduroam
1688637986.1652572;96:87:56:f2:3b:63;Unknown OUI;eduroam
1688637986.416467;ea:92:43:01:08:3e;Unknown OUI;eduroam
1688637987.860645;4a:e2:70:b4:cc:00;Unknown OUI;eduroam
1688637988.552814;1a:44:fe:96:61:7b;Unknown OUI;eduroam
1688638001.4681642;a4:4b:d5:1a:47:c1;Xiaomi Communications Co Ltd;eduroam
1688638001.4887755;a4:4b:d5:1a:47:c1;Xiaomi Communications Co Ltd;eduroam
1688638003.6429586;a4:4b:d5:1a:47:c1;Xiaomi Communications Co Ltd;eduroam
1688638004.2047102;a4:4b:d5:bc:c3:d4;Xiaomi Communications Co Ltd;eduroam
1688638004.205136;a4:4b:d5:bc:c3:d4;Xiaomi Communications Co Ltd;eduroam
1688638005.1114638;3e:06:37:e2:31:93;Unknown OUI;eduroam
1688638005.1135921;a4:4b:d5:1a:47:c1;Xiaomi Communications Co Ltd;eduroam
1688638012.752223;3e:06:37:e2:31:93;Unknown OUI;eduroam
1688638017.1223123;3e:06:37:e2:31:93;Unknown OUI;eduroam
1688638017.1432831;3e:06:37:e2:31:93;Unknown OUI;eduroam
1688638017.8249526;ea:92:43:01:08:3e;Unknown OUI;eduroam
1688638017.8454988;ea:92:43:01:08:3e;Unknown OUI;eduroam
